日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2017-11-01,利群(新版)烟丝,001 ,3499.4128,4.4858,3961.2690,18.2196,0.8333,49.3020,0.6342,0.8925,0.9963,60.0404,0.4256,2.3182,1.0000,219.5000,3999.9515,3.4840,4704.1982,17.1454,0.1213,2.3481,1.0000,19.1518,0.2338,0.9240,0.9972,38.0817,0.2495,3.8993,1.0000,80.0606,0.4603,94.0500,55.9236,0.3300,4.1176,100.0000,0.0475,0.0587,28.1081,1.0000,0.0361,88.7000,4099.9585,2.8137,4823.0308,18.8558,0.0802,1.4295,1.0000,72.9982,0.2227,3.2035,0.0071,82.1435,0.2674,2.3139,1.0000,99.9839,0.1440,2.2773,1.0000,12.0441,0.0653,2.3286,1.0000,52.2216,0.4393,2.1082,1.0000,4399.0264,27.4,66.9,24.0,57.8
2017-11-01,利群(新版)烟丝,002 ,3500.9336,4.5431,3964.5088,17.8498,0.7554,49.5180,0.5439,0.9082,0.9968,59.9473,0.4245,2.3143,1.0000,219.8000,4000.1685,3.2334,4707.6357,16.7314,0.1360,3.1099,1.0000,19.0228,0.1377,1.8808,1.0000,37.9716,0.1595,6.2096,1.0000,79.9321,0.4539,94.2000,55.3126,0.8767,1.7822,100.0000,0.0446,0.0521,31.7003,1.0000,0.0502,109.8000,4099.8277,2.5143,4825.1128,18.7368,0.0512,3.0142,1.0000,73.3258,0.2073,3.2033,0.0069,82.3418,0.3701,1.4934,1.0000,99.9876,0.1482,2.2220,1.0000,12.1223,0.0698,1.8042,1.0000,52.3852,0.2760,3.1577,1.0000,4424.0400,27.6,67.4,24.0,58.4
2017-11-02,利群(新版)烟丝,003 ,3499.7679,4.5672,3961.4993,18.0700,0.7866,49.6802,0.5243,0.8391,0.9941,60.0519,0.4834,2.0328,1.0000,219.6000,4000.1915,3.1834,4690.0854,16.8264,0.1462,2.6761,1.0000,19.0783,0.2142,1.1229,0.9996,37.8599,0.3985,2.3921,1.0000,79.9422,0.5766,93.8000,55.4572,0.2233,6.7804,100.0000,0.0490,0.0666,24.7675,1.0000,0.0018,84.6000,4099.7008,2.6544,4740.2939,18.7594,0.0635,2.3112,1.0000,73.1908,0.2880,3.2061,0.0073,81.7327,0.3775,2.0022,1.0000,99.9719,0.0889,3.6422,1.0000,12.1715,0.0891,1.2293,0.9999,52.1649,0.4376,2.1595,1.0000,4349.8833,27.4,68.8,24.0,58.1
2017-11-02,利群(新版)烟丝,004 ,3499.6171,4.6340,3952.8406,17.9423,0.8043,49.7283,0.5434,0.7802,0.9904,60.0129,0.3886,2.5624,1.0000,219.1000,4000.1046,2.7745,4712.6826,16.7325,0.1287,3.2825,1.0000,19.1998,0.1839,1.0879,0.9994,37.9311,0.2801,3.4879,1.0000,79.9944,0.2047,94.2500,53.1847,0.3869,2.7438,100.0000,0.0526,0.0692,23.8457,1.0000,0.0039,105.2000,4099.7924,2.6486,4879.6113,18.8339,0.0707,1.7270,1.0000,73.5185,0.3029,3.2011,0.0078,82.3812,0.2994,1.8025,1.0000,100.0013,0.1647,2.0216,1.0000,12.1691,0.0576,1.9142,1.0000,51.7357,0.6276,1.4530,1.0000,4465.6274,26.7,68.5,24.0,58.1
2017-11-03,利群(新版)烟丝,005 ,3500.6268,5.0072,3957.7607,18.0430,0.8547,50.0738,0.5467,0.5647,0.9549,60.0419,0.3785,2.6049,1.0000,219.1000,3999.8265,2.9537,4747.2964,17.0231,0.1421,2.2913,1.0000,18.8063,0.2222,1.4906,1.0000,38.0646,0.1969,4.9681,1.0000,80.0023,0.1993,94.9500,56.4203,0.2672,4.4661,100.0000,0.0709,0.0863,19.0303,1.0000,0.0043,71.5000,4100.0492,2.7422,4837.4019,18.6700,0.0516,3.0365,1.0000,72.7106,0.1581,3.2031,0.0072,82.6097,0.3750,1.2358,0.9999,99.9976,0.1629,2.0419,1.0000,12.0678,0.0857,1.6809,1.0000,51.7125,0.3507,2.5781,1.0000,4441.8716,26.7,68.3,23.9,58.0
2017-11-03,利群(新版)烟丝,006 ,3499.6019,4.4719,3956.8137,17.9495,0.8314,49.6743,0.6166,0.7166,0.9842,59.9225,0.6592,1.4778,1.0000,219.3000,3999.9420,3.2302,4721.7363,16.8850,0.1802,2.0625,1.0000,18.7769,0.1851,1.7592,1.0000,38.0728,0.3211,3.0388,1.0000,80.0278,0.4560,94.5000,53.7591,0.7047,1.7781,100.0000,0.0669,0.0893,18.4237,1.0000,0.0691,77.2000,4100.1484,2.7719,4752.4380,18.5004,0.0538,1.8620,1.0000,73.0394,0.2514,3.2029,0.0058,82.1972,0.4107,1.4630,1.0000,99.9755,0.1074,3.0288,1.0000,11.9661,0.1273,1.2205,0.9999,52.0742,0.3998,2.4394,1.0000,4370.0498,26.9,68.3,24.0,57.7
2017-11-04,利群(新版)烟丝,007 ,3500.0153,4.8498,3962.0752,18.1157,0.8414,49.4340,0.6173,0.8457,0.9944,59.9458,0.4137,2.3738,1.0000,219.6000,4000.5809,3.1182,4739.0615,17.2771,0.1585,1.5201,1.0000,18.7054,0.1674,1.8028,1.0000,38.1653,0.1944,4.8616,1.0000,80.0076,0.5206,94.7500,55.8319,0.1693,8.2058,100.0000,0.0406,0.0446,37.0364,1.0000,0.0329,63.4000,4099.9394,2.7409,4905.4634,18.5686,0.0532,2.3110,1.0000,73.1165,0.1672,3.2069,0.0059,82.0679,0.3207,2.0084,1.0000,99.9755,0.1211,2.6852,1.0000,12.0874,0.0954,1.4414,1.0000,51.8894,0.5890,1.6352,1.0000,4515.6704,27.3,68.8,23.9,57.8
2017-11-04,利群(新版)烟丝,008 ,3499.6174,5.0248,3957.7971,18.1130,0.8777,49.4987,0.6404,0.7814,0.9905,59.9419,0.4881,2.0091,1.0000,219.9000,3999.6854,3.3212,4718.4033,17.1544,0.1086,2.5964,1.0000,18.7656,0.1095,2.9386,1.0000,37.7405,0.1354,6.7475,1.0000,80.0033,0.3138,94.4000,54.7901,0.9290,1.7188,100.0000,0.0480,0.0627,26.3327,1.0000,0.0338,70.4000,4100.1092,2.7186,4804.9019,18.7272,0.0553,2.8511,1.0000,72.9407,0.2068,3.2039,0.0069,82.1095,0.3143,2.0053,1.0000,99.9875,0.1666,1.9763,1.0000,12.0442,0.0806,1.8846,1.0000,52.6030,0.3102,2.5758,1.0000,4410.6050,27.4,69.4,24.1,58.1
2017-11-04,利群(新版)烟丝,009 ,3500.2710,4.7548,3952.5566,18.0080,0.8331,49.4960,0.6597,0.7599,0.9887,59.9479,0.6232,1.5769,1.0000,220.1000,4000.2854,3.1036,4714.9175,16.9899,0.1456,2.3130,1.0000,18.6562,0.0930,3.0672,1.0000,37.5935,0.1478,5.8477,1.0000,79.9907,0.2794,94.4000,56.6981,0.7441,1.4792,100.0000,0.0402,0.0450,36.7121,1.0000,0.1078,76.8000,4100.0046,2.7942,4795.7754,18.5844,0.0588,2.1782,1.0000,72.9236,0.2166,3.2027,0.0063,81.7626,0.3386,2.2027,1.0000,100.0032,0.2038,1.6305,1.0000,12.0177,0.0883,1.8217,1.0000,52.6954,0.3894,1.9726,1.0000,4410.3452,27.4,68.4,23.9,58.1
2017-11-05,利群(新版)烟丝,010 ,3499.9202,5.0721,3946.3311,18.2330,0.8064,49.6673,0.5816,0.7638,0.9890,60.0062,0.4993,1.9988,1.0000,218.8000,3999.9400,3.0608,4728.5210,17.2613,0.1499,1.6429,1.0000,18.9311,0.1604,1.8061,1.0000,38.4294,0.2203,3.8898,1.0000,80.0032,0.6647,94.5500,57.0315,0.3441,2.8754,100.0000,0.0551,0.0781,21.1153,1.0000,0.0216,65.9000,4099.5838,2.8995,4813.5693,18.7282,0.0707,2.2252,1.0000,72.8699,0.2833,3.2041,0.0075,81.5481,0.4677,1.7474,1.0000,99.9933,0.1412,2.3451,1.0000,12.0460,0.1156,1.3092,1.0000,50.9875,0.4670,1.4185,1.0000,4409.5146,27.1,69.4,23.7,59.1
