日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2019-02-17,利群(新版)烟丝,001 ,3500.0227,3.3450,3995.2336,18.8298,0.6714,46.6588,0.9985,0.5538,0.9517,59.9301,0.5502,1.7750,1.0000,220.3000,4000.0618,4.0762,4706.9492,17.0133,0.1238,2.6575,1.0000,18.6890,0.1295,2.2882,1.0000,37.9156,0.5629,1.7264,1.0000,79.9249,0.6276,94.2500,54.3302,0.3922,3.6804,100.0000,0.0907,0.1853,8.8334,1.0000,0.1179,43.3000,4100.0031,2.8684,4774.1455,18.2655,0.0591,0.3692,0.8660,72.9371,0.0000,3.2029,0.0034,82.0916,0.1573,4.0444,1.0000,1633.3701,29.6588,99.9957,0.1364,2.4329,1.0000,11.7946,0.0615,1.0548,0.9992,47.6372,0.4745,0.0000,0.0020,4379.1821,25.5,67.8,22.8,57.5
2019-02-17,利群(新版)烟丝,002 ,3499.9794,3.8343,3994.3276,18.4805,0.6173,46.8490,0.8331,0.7398,0.9868,59.9239,0.4660,2.0914,1.0000,220.3000,3999.9723,3.9019,4706.5723,16.9575,0.1165,2.9838,1.0000,18.9777,0.0792,3.4628,1.0000,38.1178,1.1059,0.8688,0.9930,79.8562,0.8763,94.2000,55.7633,0.3099,4.5569,100.0000,0.1096,0.2571,6.3399,1.0000,0.0728,62.9000,4099.7734,2.6243,4760.1777,18.4270,0.0538,1.4057,1.0000,72.9343,0.1410,3.2001,0.0074,82.0741,0.2370,2.7084,1.0000,1639.2887,28.5477,100.0017,0.1575,2.1129,1.0000,11.9083,0.0544,1.8885,1.0000,47.8443,0.3362,0.0000,0.0003,4365.3384,26.4,66.8,22.2,56.3
2019-02-18,利群(新版)烟丝,003 ,3499.9137,3.6400,3994.7764,18.5733,0.6751,47.2438,0.6094,1.2273,0.9999,59.8652,0.5060,1.8877,1.0000,220.3000,3999.8485,3.9798,4706.8325,17.0065,0.0946,3.5016,1.0000,19.0369,0.0722,3.5237,1.0000,38.2255,0.1302,7.1013,1.0000,79.8770,0.6878,94.1500,55.2688,0.6940,2.2723,100.0000,0.1079,0.2447,6.6652,1.0000,0.0142,59.8000,4099.9270,2.9718,4829.1689,18.4865,0.0464,2.0600,1.0000,72.8568,0.0472,3.2009,0.0074,82.0701,0.1944,3.3093,1.0000,1645.0442,31.9365,100.0031,0.1745,1.9039,1.0000,11.9209,0.3467,0.3085,0.7976,48.1144,0.3888,0.0000,0.0114,4432.7754,27.0,68.5,22.3,56.2
2019-02-18,利群(新版)烟丝,004 ,3500.0619,3.3148,3994.5059,18.6471,0.9243,47.1505,0.6675,1.0739,0.9994,59.8725,0.4387,2.1825,1.0000,220.3000,3999.9969,3.6795,4705.3408,17.0148,0.1080,3.0416,1.0000,19.0580,0.0990,2.4988,1.0000,38.0677,0.2011,4.8607,1.0000,79.9253,0.5010,94.1000,56.1140,0.3042,4.2582,100.0000,0.0913,0.1526,10.7223,1.0000,0.0072,58.1000,4099.9439,2.8117,4827.4751,18.5706,0.0519,2.3787,1.0000,73.1377,0.0696,3.2059,0.0065,82.0477,0.2815,2.3116,1.0000,1652.2194,33.6806,100.0056,0.1916,1.7305,1.0000,11.9302,0.0593,1.8571,1.0000,48.3398,0.2849,0.0000,0.0102,4432.1060,27.1,68.2,22.4,56.2
2019-02-18,利群(新版)烟丝,005 ,3499.8100,3.5298,3993.4775,18.4169,0.7889,47.3021,0.5928,1.2944,0.9999,59.8392,0.5518,1.7151,1.0000,220.2000,4000.2138,3.8317,4704.5166,16.8554,0.1054,3.6205,1.0000,19.0186,0.0853,3.0549,1.0000,37.7833,0.3658,2.5362,1.0000,79.7952,1.0101,94.1500,55.9117,0.6956,1.9592,100.0000,0.1148,0.2886,5.6427,1.0000,0.0634,67.9000,4099.9878,2.6645,4829.8799,18.5005,0.0559,1.7909,1.0000,72.9162,0.0461,3.2000,0.0037,81.7632,0.2081,3.5821,1.0000,1647.7153,31.4235,100.0023,0.1995,1.6670,1.0000,11.8767,0.0550,1.6758,1.0000,48.6948,0.2578,0.0000,0.1182,4429.1860,26.8,67.2,22.5,56.1
2019-02-18,利群(新版)烟丝,006 ,3499.6915,3.7450,3994.1917,18.4298,0.7425,47.2290,0.7210,1.0306,0.9990,59.8500,0.6095,1.5586,1.0000,220.4000,4000.4366,3.6653,4703.1030,17.0006,0.1062,3.1371,1.0000,19.1661,0.0784,2.6944,1.0000,37.7670,0.1452,6.3501,1.0000,79.9020,0.5397,94.0500,55.9046,0.3377,4.0424,100.0000,0.0843,0.1701,9.6333,1.0000,0.0128,67.5000,4100.1611,2.4214,4829.5229,18.6846,0.0547,2.9527,1.0000,72.9394,0.0810,3.1995,0.0054,81.4815,0.3514,2.3888,1.0000,1628.7077,27.5414,100.0093,0.1572,2.1010,1.0000,12.0428,0.0611,2.4148,1.0000,49.0746,0.2622,0.0948,0.6119,4429.5874,26.4,67.7,22.7,56.3
2019-02-18,利群(新版)烟丝,007 ,3500.0672,3.8351,3995.5901,18.4569,0.8570,47.0297,0.6102,1.1088,0.9996,59.8373,0.6472,1.4612,1.0000,220.4000,3999.5085,3.8586,4705.9717,16.9034,0.1068,3.4230,1.0000,19.1523,0.1085,1.9908,1.0000,37.6641,0.2242,3.9612,1.0000,79.9409,0.4812,94.2000,54.7626,0.5860,2.7093,100.0000,0.0869,0.1897,8.6315,1.0000,0.0856,73.7000,4099.8869,2.2628,4823.8003,18.7245,0.0469,3.3764,1.0000,72.9070,0.0443,3.1948,0.0089,81.8951,0.1746,4.0187,1.0000,1629.5302,30.5766,100.0143,0.1946,1.6886,1.0000,11.9949,0.0584,2.2532,1.0000,49.2802,0.2157,0.4330,0.9030,4531.0615,27.0,68.3,22.8,56.3
2019-02-18,利群(新版)烟丝,008 ,3499.7078,3.7013,3995.7705,18.5485,0.7417,47.0357,0.7477,0.9076,0.9968,59.8762,0.4881,1.9642,1.0000,220.5000,4000.2641,3.9754,4709.7300,16.9827,0.1034,3.2812,1.0000,19.1311,0.0826,2.6988,1.0000,37.8707,0.9973,0.9595,0.9972,79.9085,0.5542,94.3500,54.8446,0.2720,5.9368,100.0000,0.0851,0.1944,8.4296,1.0000,0.1650,67.3000,4100.1962,2.6209,4867.4609,18.7600,0.0534,2.7442,1.0000,72.9547,0.1225,3.2014,0.0087,82.3995,0.3703,1.4408,1.0000,1652.9773,159.1545,99.7470,1.3593,0.1832,0.5304,11.9652,0.0636,1.9130,1.0000,49.4833,0.2209,0.7294,0.9857,4503.7798,26.9,68.1,22.8,56.0
2019-02-18,利群(新版)烟丝,009 ,3499.9446,3.5822,3997.3748,18.5258,0.6611,46.9860,0.5949,1.1128,0.9996,59.9372,0.3294,2.9720,1.0000,220.6000,4000.0145,3.5841,4714.5156,17.0571,0.0984,3.1949,1.0000,19.1224,0.0961,2.3515,1.0000,38.1288,0.1249,7.6649,1.0000,79.9107,0.6341,94.4000,55.3446,0.2882,5.3835,100.0000,0.0871,0.1717,9.5376,1.0000,0.1163,65.1000,4100.0740,2.1132,4862.2236,18.8064,0.0556,2.3587,1.0000,72.8791,0.0373,3.1993,0.0051,82.4580,0.2072,2.4804,1.0000,1635.4809,32.0172,100.0026,0.1866,1.7817,1.0000,11.9840,0.0634,2.0195,1.0000,49.8493,0.1804,1.5689,1.0000,4461.4302,26.7,68.2,22.7,56.1
2019-02-18,利群(新版)烟丝,010 ,3500.2273,3.4248,3997.3289,18.5819,0.6957,47.2729,0.5928,1.2780,0.9999,59.8692,0.4934,1.9385,1.0000,220.5000,4000.4756,3.6610,4719.4307,17.0563,0.1147,2.7433,1.0000,19.1135,0.1292,1.7710,1.0000,38.3414,0.2890,3.0662,1.0000,79.8657,0.6315,94.4500,54.8553,0.6836,2.3677,100.0000,0.1164,0.2632,6.1852,1.0000,0.0650,64.8000,4099.9891,2.3727,4815.3076,18.7095,0.0479,3.4103,1.0000,73.1650,0.1183,3.1988,0.0099,81.8969,0.3357,2.0884,1.0000,1630.3023,39.1542,100.0029,0.2003,1.6592,1.0000,11.9626,0.0691,1.7498,1.0000,50.2331,0.2289,1.7954,1.0000,4407.4175,26.9,67.6,22.7,56.0
