日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2019-03-01,利群(新版)烟丝,098 ,3499.5317,4.6703,3997.7354,18.5257,0.7728,48.5169,0.6924,1.1953,0.9998,60.1837,0.4801,1.9555,1.0000,220.5000,3999.5202,3.7376,4690.2520,17.2309,0.1003,2.5569,1.0000,19.0770,0.1171,2.0572,1.0000,37.6659,0.1359,6.5392,1.0000,79.9794,0.4078,93.8000,54.8143,0.8317,1.9294,100.0000,0.0714,0.1521,10.8042,1.0000,0.0054,58.6000,4099.9687,1.8447,4845.2290,18.7231,0.0563,2.8242,1.0000,73.3516,0.0174,3.2069,0.0039,81.9127,0.1957,3.5547,1.0000,1601.7865,32.4471,41.8561,0.1904,35.0000,0.0000,99.9963,0.2514,1.3212,0.9999,11.9831,0.0566,2.2581,1.0000,51.0288,0.3429,1.9722,1.0000,4443.7910,26.8,67.9,23.0,55.9
2019-03-01,利群(新版)烟丝,001 ,3499.6263,4.2318,3999.4941,18.5205,0.8011,48.7279,0.6419,1.1799,0.9998,59.8838,0.4659,2.0631,1.0000,220.6000,3999.8023,3.6231,4687.9292,17.0777,0.1076,2.8581,1.0000,19.0500,0.0761,3.2839,1.0000,38.0188,0.0940,10.5687,1.0000,79.8928,0.5929,93.7500,54.0682,0.4239,3.1994,100.0000,0.0889,0.1921,8.5201,1.0000,0.0092,64.9000,4099.9208,2.5035,4820.3823,18.6485,0.0629,2.3769,1.0000,73.2640,0.0365,3.2025,0.0038,80.7228,0.2421,3.7497,1.0000,1601.8916,32.7857,41.8260,0.2446,35.0000,0.0000,99.9928,0.3081,1.0740,0.9988,11.8787,0.0786,1.1821,0.9998,50.8632,0.1842,3.3710,1.0000,4419.8984,26.9,67.6,23.0,56.2
2019-03-01,利群(新版)烟丝,002 ,3499.8511,4.3442,3997.1455,18.7014,0.9023,48.9709,0.6437,1.0507,0.9992,60.0487,0.4497,2.1878,1.0000,220.5000,3999.4185,3.5606,4695.4199,17.1709,0.1211,2.2828,1.0000,19.1084,0.0830,2.7789,1.0000,38.1553,0.1094,8.6674,1.0000,79.9609,0.4298,93.9500,55.6945,0.2432,5.9011,100.0000,0.0698,0.1438,11.4288,1.0000,0.0443,60.7000,4099.8295,2.0771,4792.0107,18.7106,0.0566,2.8825,1.0000,73.2455,0.0461,3.2009,0.0053,80.5930,0.2140,4.0385,1.0000,1603.1982,30.1686,41.8200,0.2553,35.0000,0.0000,99.9984,0.3347,0.9942,0.9972,11.9294,0.0775,1.4164,1.0000,51.0058,0.2509,2.6652,1.0000,4397.7529,26.8,67.5,23.1,56.2
2019-03-01,利群(新版)烟丝,003 ,3500.1831,4.1932,3996.4568,18.6437,0.7913,48.9936,0.5117,1.3070,1.0000,60.0721,0.3859,2.5291,1.0000,220.4000,4000.0577,3.7597,4690.2861,17.1722,0.1271,2.1707,1.0000,19.0909,0.0738,3.2029,1.0000,38.3501,0.1039,8.4999,1.0000,79.9312,0.5261,93.8000,54.9138,0.5951,2.7525,100.0000,0.0939,0.2169,7.5390,1.0000,0.0061,60.6000,4099.8798,2.0557,4819.1895,18.6618,0.0508,3.0311,1.0000,73.3898,0.0224,3.2043,0.0035,81.1175,0.4005,2.3989,1.0000,1602.0342,29.7804,41.8291,0.2545,35.0000,0.0000,100.0078,0.3320,0.9962,0.9974,11.9443,0.0849,1.3511,1.0000,51.3189,0.2472,3.1274,1.0000,4419.1846,26.9,67.4,23.1,56.2
2019-03-01,利群(新版)烟丝,004 ,3500.1872,4.4590,3998.9871,18.5900,0.7771,48.9866,0.5400,1.2429,0.9999,60.0383,0.3054,3.2324,1.0000,220.7000,3999.8046,3.8766,4699.5757,17.0115,0.1142,2.8858,1.0000,19.0880,0.0788,3.0123,1.0000,38.0414,0.1372,7.1858,1.0000,79.8937,0.6116,94.0500,56.7699,0.5524,1.9491,100.0000,0.0822,0.1768,9.2718,1.0000,0.0622,68.4000,4100.0023,1.7589,4820.2363,18.6837,0.0552,2.9225,1.0000,73.2417,0.0173,3.1990,0.0037,81.3237,0.2441,3.6541,1.0000,1605.7430,35.2033,41.7175,0.2546,35.0000,0.0000,100.0016,0.3408,0.9766,0.9967,11.9334,0.0736,1.5103,1.0000,51.4785,0.2362,3.4980,1.0000,4421.7212,26.8,67.8,23.1,56.2
2019-03-01,利群(新版)烟丝,005 ,3499.9808,4.3899,3999.6436,18.5158,0.7849,48.5193,0.5601,1.4763,1.0000,59.8868,0.4783,2.0120,1.0000,220.6000,4000.3408,3.3751,4694.4580,17.0615,0.0978,3.1989,1.0000,19.0970,0.0661,3.5474,1.0000,37.9513,0.1439,6.8351,1.0000,79.8267,0.7378,94.0000,55.1153,0.6328,2.5729,100.0000,0.1093,0.2608,6.2516,1.0000,0.1181,64.4000,4099.8054,2.0875,4843.1514,18.7228,0.0483,3.2954,1.0000,73.2923,0.0218,3.1977,0.0039,80.9163,0.2707,3.5905,1.0000,1602.5122,28.7293,41.6790,0.2487,35.0000,0.0000,100.0025,0.3133,1.0614,0.9986,11.8996,0.0849,1.1760,0.9998,51.6246,0.2154,4.0610,1.0000,4440.8154,26.9,67.9,23.1,56.0
2019-03-01,利群(新版)烟丝,006 ,3500.2607,4.2611,3996.3318,18.4959,0.7514,48.3115,0.6279,1.4271,1.0000,59.8816,0.4388,2.1891,1.0000,220.4000,3999.5969,3.5426,4691.7402,17.0029,0.1003,3.3153,1.0000,19.0893,0.0726,3.2646,1.0000,37.8571,0.1166,8.1691,1.0000,79.9247,0.5624,93.9500,55.6911,0.2577,5.5728,100.0000,0.0912,0.2251,7.2703,1.0000,0.1228,68.3000,4100.0783,2.3409,4780.8794,18.6566,0.0529,2.8758,1.0000,73.6363,0.0665,3.1959,0.0075,81.3772,0.3549,2.4636,1.0000,1606.5780,27.3963,42.2316,0.2875,35.0000,0.0000,100.0093,0.2585,1.2773,0.9999,12.0532,0.0643,2.3483,1.0000,48.9296,0.4763,0.0000,0.4413,4370.8330,26.9,68.2,22.6,56.2
2019-03-01,利群(新版)烟丝,007 ,3499.9319,4.5460,3998.5085,18.5329,0.6741,48.2602,0.5617,1.6258,1.0000,59.8843,0.3976,2.4182,1.0000,220.5000,3999.5831,3.8392,4698.0664,17.0839,0.1147,2.6616,1.0000,19.1083,0.0712,3.2376,1.0000,37.9556,0.1222,8.0626,1.0000,79.8757,0.8387,94.0500,55.4759,0.7544,1.9989,100.0000,0.1041,0.2669,6.1151,1.0000,0.0944,63.3000,4099.9837,2.2329,4805.9839,18.7136,0.0518,3.1273,1.0000,73.4563,0.0967,3.2015,0.0102,81.9878,0.1654,4.0551,1.0000,1602.5086,30.0233,42.0858,0.2376,35.0000,0.0000,100.0272,0.2777,1.1677,0.9997,11.9613,0.0564,2.1358,1.0000,50.1555,0.3262,1.1807,0.9998,4407.4390,26.9,68.2,22.7,55.9
2019-03-01,利群(新版)烟丝,008 ,3499.8851,4.4321,3997.0698,18.6181,0.7208,48.2131,0.6252,1.4858,1.0000,59.8782,0.4490,2.1368,1.0000,220.5000,4000.0592,3.7254,4697.2505,17.0803,0.1068,2.8695,1.0000,19.0955,0.0766,3.0666,1.0000,37.9532,0.1205,8.1662,1.0000,79.9247,0.5550,94.0500,56.1373,0.2666,4.8301,100.0000,0.1004,0.2328,7.0141,1.0000,0.1118,62.5000,4100.0069,2.0784,4819.0674,18.6742,0.0679,2.3261,1.0000,73.4347,0.0718,3.1980,0.0076,82.1041,0.2419,2.6121,1.0000,1592.2980,31.5245,41.8690,0.2102,35.0000,0.0000,99.9967,0.2826,1.1757,0.9996,11.9368,0.0643,1.7451,1.0000,50.7852,0.2052,2.8999,1.0000,4414.5278,26.9,68.3,23.1,56.6
2019-03-01,利群(新版)烟丝,009 ,3499.7896,4.8852,3997.4307,18.6021,0.7075,48.1098,0.6663,1.4459,1.0000,59.9081,0.3300,2.9373,1.0000,220.4000,3999.5178,3.5688,4692.1592,17.0643,0.1166,2.6754,1.0000,19.1089,0.0688,3.3492,1.0000,37.9498,0.1685,5.8349,1.0000,79.8855,0.6783,93.9000,55.6053,0.2566,5.7092,100.0000,0.1124,0.2878,5.6606,1.0000,0.0605,62.0000,4099.6768,2.1517,4799.1201,18.5980,0.0597,2.2224,1.0000,73.3457,0.0209,3.2032,0.0041,81.9503,0.1749,3.9062,1.0000,1584.1710,32.5721,41.9287,0.2141,35.0000,0.0000,100.0023,0.2883,1.1534,0.9995,11.9460,0.0597,1.9311,1.0000,50.9020,0.2358,2.6892,1.0000,4404.7988,26.8,68.1,22.5,56.7
