日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽质量流量均值,sirox增温增湿sirox蒸汽质量流量SD,sirox增温增湿sirox蒸汽体积流量均值,sirox增温增湿sirox蒸汽体积流量SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox蒸汽喷射蒸汽压力均值,sirox增温增湿sirox蒸汽喷射蒸汽压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝热风风机频率,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝排潮负压均值,kld烘丝排潮负压SD,kld烘丝筒壁温度均值,kld烘丝筒壁温度SD,kld烘丝筒壁温度CPK,kld烘丝筒壁温度合格率,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2020-02-15,利群(新版)烟丝,001 ,4000.4152,4.9706,3990.6577,19.1185,0.7108,59.7136,0.6795,1.3312,1.0000,62.8274,0.5181,1.8190,1.0000,233.0000,4199.5540,5.3063,4751.7305,17.3457,0.1334,1.6345,1.0000,19.4117,0.3399,0.5770,0.9583,37.4752,1.1714,0.7043,0.9814,83.9966,0.2861,95.1000,54.9342,0.6712,1.4571,100.0000,0.0871,0.1759,9.3107,1.0000,0.0691,62.7000,3999.8515,2.0396,4793.0674,18.4080,0.0512,2.6561,1.0000,35.7357,0.0247,419.9787,0.2834,132.7578,0.1227,5.0195,0.0043,1.2041,0.0020,81.3156,0.1738,5.1493,1.0000,0.3201,0.0011,0.0000,62.8301,0.4522,60.2609,0.3708,-20.0991,1.5365,134.4546,0.6387,0.8065,100.0000,100.0029,0.1521,2.1848,1.0000,12.2354,0.0650,2.3821,1.0000,58.4616,0.5273,1.5561,1.0000,4299.1348,26.8,67.9,22.9,60.0
2020-02-15,利群(新版)烟丝,002 ,4000.5541,4.5136,3987.6902,19.6866,0.6839,59.8782,0.5745,1.6701,1.0000,62.8976,0.3922,2.4624,1.0000,240.2000,4200.2758,5.2177,4775.0806,17.7991,0.1462,0.4581,0.9153,19.3994,0.1268,1.5790,1.0000,38.7172,0.5021,1.5155,1.0000,84.0177,0.3904,95.5500,53.5081,0.2893,1.7378,100.0000,0.1119,0.1930,8.4427,1.0000,0.0543,55.1000,3999.7470,2.4776,4797.0562,18.4094,0.0554,2.4624,1.0000,35.7477,0.0158,420.0364,0.3108,133.9558,0.1275,4.9627,0.0026,1.2167,0.0024,81.3176,0.1972,4.5351,1.0000,0.3202,0.0011,0.0000,61.1611,0.6816,60.0773,0.4512,-20.1605,1.2846,133.7269,0.4296,1.7638,100.0000,100.0023,0.2067,1.6085,1.0000,12.2256,0.0910,1.7381,1.0000,58.7856,0.4648,1.9976,1.0000,4307.7827,26.7,67.2,23.0,59.9
2020-02-15,利群(新版)烟丝,003 ,4000.5051,5.6903,3992.6355,19.5883,0.7586,60.4036,0.2682,3.2264,1.0000,63.2358,0.4906,1.8780,1.0000,240.4000,4200.3176,4.3440,4778.9336,17.5705,0.1220,1.1735,0.9998,19.3900,0.0845,2.4071,1.0000,38.8169,0.2436,2.9868,1.0000,84.0294,0.3103,95.6000,55.4360,0.7445,1.1480,100.0000,0.0980,0.1614,10.1231,1.0000,0.0348,66.3000,4000.1568,2.1051,4799.5054,18.4397,0.0540,2.7128,1.0000,34.0438,0.0272,419.9349,0.3017,133.8055,0.1220,4.9726,0.0029,1.2257,0.0022,80.1961,0.1309,5.5921,1.0000,0.3199,0.0009,0.0000,62.8924,0.1831,60.0867,0.3898,-20.1142,1.6557,135.4973,0.5019,0.3339,100.0000,99.9997,0.2129,1.5650,1.0000,12.2215,0.1273,1.2528,0.9999,58.5783,0.6301,1.3640,1.0000,4319.6133,26.9,67.8,23.1,59.9
2020-02-15,利群(新版)烟丝,004 ,3999.9691,5.0337,3990.7664,19.7211,0.6581,60.3926,0.2314,3.7563,1.0000,63.2205,0.4617,2.0066,1.0000,240.3000,4199.0863,4.2039,4759.7666,17.6602,0.1267,0.8939,0.9963,19.3998,0.0976,2.0491,1.0000,39.0934,0.1604,3.9625,1.0000,83.9956,0.2519,95.3000,55.2204,0.7770,1.1925,100.0000,0.0872,0.1740,9.4133,1.0000,0.1100,63.7000,4000.1925,2.3920,4832.4165,18.4289,0.0612,2.3346,1.0000,34.0770,0.0166,419.9940,0.3245,134.0279,0.1203,4.9628,0.0019,1.2296,0.0023,80.1142,0.2781,2.5338,1.0000,0.3199,0.0011,0.0000,62.6576,0.2773,60.1820,0.2978,-20.1661,1.5682,135.0145,0.3030,1.0841,100.0000,99.9988,0.1776,1.8747,1.0000,12.1707,0.1393,1.1262,0.9996,58.8811,0.4302,2.2323,1.0000,4339.8506,26.5,67.9,23.2,60.1
2020-02-16,利群(新版)烟丝,005 ,3999.3525,5.0199,3993.7083,19.7532,0.7322,60.1877,0.3261,2.8749,1.0000,63.3080,0.5871,1.5284,1.0000,240.4000,4200.1855,5.0185,4740.2075,17.7967,0.1396,0.4855,0.9274,19.3992,0.1090,1.8371,1.0000,37.9963,0.1729,5.7759,1.0000,84.0578,0.4788,94.8500,55.6313,0.3247,2.4313,100.0000,0.1040,0.2210,7.3835,1.0000,0.0484,52.5000,4000.0267,2.4168,4778.5811,18.5118,0.0500,3.2547,1.0000,34.8284,0.0345,420.0013,0.3375,134.6081,0.1221,4.9348,0.0015,1.2442,0.0022,80.3460,0.1311,5.9630,1.0000,0.3198,0.0009,0.0000,63.1385,0.1215,59.9955,0.3566,-20.2116,1.8523,132.5462,0.5029,1.6877,100.0000,100.0040,0.1956,1.6970,1.0000,12.1880,0.1661,0.9791,0.9973,58.7453,0.3427,2.6705,1.0000,4291.6265,26.8,67.8,22.5,60.2
2020-02-16,利群(新版)烟丝,006 ,3999.9953,5.2606,3992.9966,19.5590,0.6019,60.1165,0.4529,2.1224,1.0000,62.9787,0.2995,3.3149,1.0000,240.4000,4199.6177,5.2145,4759.5186,17.6503,0.1475,0.7904,0.9911,19.3915,0.0737,2.7521,1.0000,38.1361,0.2718,3.5117,1.0000,84.0171,0.2757,95.2500,55.1343,0.7354,1.2990,100.0000,0.0838,0.1303,12.5810,1.0000,0.0626,62.9000,4000.1447,2.0844,4819.6548,18.4470,0.0625,2.3851,1.0000,35.6996,0.0126,420.0017,0.2443,134.6660,0.0898,4.9322,0.0013,1.2345,0.0020,79.8972,0.2151,2.9405,1.0000,0.3200,0.0010,0.0000,62.9933,0.1101,59.7586,0.3217,-20.1916,1.8475,131.7633,0.4664,1.2602,100.0000,100.0017,0.1981,1.6794,1.0000,12.0913,0.1389,0.9390,0.9976,58.8912,0.3085,3.1241,1.0000,4327.2192,26.7,68.0,22.6,60.3
2020-02-16,利群(新版)烟丝,007 ,3999.2455,11.3547,4000.5862,19.5020,0.5697,60.1496,0.4087,2.3249,1.0000,63.0569,0.3925,2.4992,1.0000,240.8000,4200.0331,4.5927,4747.3926,17.6344,0.1368,0.8911,0.9962,19.4070,0.0831,2.3795,1.0000,38.2649,0.1993,4.5736,1.0000,84.0366,0.2760,95.0500,55.3224,0.2103,4.2447,100.0000,0.0829,0.1579,10.3819,1.0000,0.1076,63.9000,3999.9639,1.8897,4816.1313,18.4444,0.0583,2.5389,1.0000,35.7200,0.0183,420.0064,0.2427,134.7764,0.0868,4.9277,0.0013,1.2353,0.0014,79.7826,0.1733,3.4294,1.0000,0.3200,0.0010,0.0000,62.6607,0.3525,59.9130,0.3844,-20.1170,1.3636,132.6829,0.4766,1.8766,100.0000,99.9998,0.1627,2.0477,1.0000,12.0848,0.1359,0.9440,0.9977,59.0633,0.2823,3.4677,1.0000,4322.7881,26.9,67.6,22.6,60.4
2020-02-16,利群(新版)烟丝,008 ,4000.2807,17.6308,4002.7156,19.5846,0.7193,60.1822,0.4075,2.3047,1.0000,63.0010,0.3277,3.0506,1.0000,241.1000,4200.2790,4.8820,4754.7554,17.7052,0.1231,0.7982,0.9917,19.3992,0.0812,2.4673,1.0000,38.5311,0.1160,7.0930,1.0000,83.9451,0.2939,95.2000,55.7425,0.6323,1.1900,100.0000,0.0676,0.0813,20.2270,1.0000,0.1103,61.8000,4000.0120,2.1181,4826.1489,18.4194,0.0553,2.5284,1.0000,35.7402,0.0147,420.0613,0.2926,134.8857,0.1083,4.9233,0.0014,1.2356,0.0019,79.8856,0.1546,4.0651,1.0000,0.3199,0.0010,0.0000,63.1079,0.1644,59.9184,0.3347,-20.2177,1.3261,132.9871,0.3311,3.0077,100.0000,99.9993,0.2084,1.5986,1.0000,12.0922,0.0868,1.5052,1.0000,59.1524,0.2592,3.6617,1.0000,4336.5640,26.8,68.2,22.5,60.3
2020-02-16,利群(新版)烟丝,009 ,3999.9058,5.0977,3992.5867,19.6511,0.6643,60.0888,0.4850,2.0007,1.0000,62.9550,0.2828,3.4836,1.0000,240.4000,4200.0677,4.4850,4746.9785,17.6249,0.1124,1.1124,0.9996,19.4196,0.0876,2.2092,1.0000,38.1715,0.3242,2.9082,1.0000,84.0020,0.2505,95.0000,54.3211,0.1857,4.1653,100.0000,0.0773,0.1506,10.8954,1.0000,0.0636,66.0000,3999.7992,2.2231,4821.2314,18.4555,0.0496,3.0585,1.0000,35.7277,0.0176,419.9783,0.2626,134.8457,0.1001,4.9239,0.0015,1.2351,0.0020,79.8308,0.2755,2.2155,1.0000,0.3201,0.0011,0.0000,61.9766,0.6037,59.9032,0.3609,-20.2509,1.6392,132.6834,0.5046,1.7726,100.0000,99.9972,0.2365,1.4053,1.0000,12.2267,0.1286,1.2265,0.9999,59.0173,0.2776,3.5819,1.0000,4333.0820,26.9,68.1,22.5,60.4
2020-02-16,利群(新版)烟丝,010 ,3999.2885,5.4965,3995.0437,19.5893,0.6527,60.1478,0.4041,2.3528,1.0000,62.9703,0.3205,3.0895,1.0000,240.5000,4199.4774,4.6195,4744.9238,17.5357,0.1309,1.1825,0.9998,19.4217,0.0937,2.0577,1.0000,37.8143,0.1279,7.3338,1.0000,84.0217,0.1819,94.9500,55.8369,0.7158,1.0073,100.0000,0.0703,0.0855,19.2238,1.0000,0.0543,70.5000,4000.2007,1.8943,4860.5820,18.4043,0.0478,2.8172,1.0000,35.7405,0.0136,419.9717,0.2651,134.9299,0.0964,4.9203,0.0014,1.2355,0.0017,80.0647,0.1920,3.5851,1.0000,0.3200,0.0013,0.0000,61.6950,0.6742,59.8613,0.3078,-20.1479,1.4843,132.7221,0.4794,1.8927,100.0000,99.9957,0.1920,1.7284,1.0000,12.2332,0.1408,1.1051,0.9995,59.0866,0.2441,3.9780,1.0000,4376.6689,26.7,68.1,22.5,60.3
