日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,润叶加料贮叶时间,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽质量流量均值,sirox增温增湿sirox蒸汽质量流量SD,sirox增温增湿sirox蒸汽体积流量均值,sirox增温增湿sirox蒸汽体积流量SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox蒸汽喷射蒸汽压力均值,sirox增温增湿sirox蒸汽喷射蒸汽压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝热风风机频率,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝排潮负压均值,kld烘丝排潮负压SD,kld烘丝筒壁温度均值,kld烘丝筒壁温度SD,kld烘丝筒壁温度CPK,kld烘丝筒壁温度合格率,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2020-05-04,利群(新版)烟丝,001 ,4000.1065,4.0848,3949.0000,18.3260,0.7256,59.2392,0.7114,1.0492,0.9992,62.9218,0.2470,3.9430,1.0000,237.6000,4200.0659,4.4629,4705.6172,17.2093,0.1128,2.3366,1.0000,19.1371,0.0755,3.8097,1.0000,38.3022,0.2838,3.1687,1.0000,84.0028,0.3686,94.2500,57.0676,0.4775,0.6509,100.0000,0.1083,0.1126,14.4811,1.0000,0.1463,58.5000,285,4000.0969,2.2525,4720.3906,18.6132,0.0636,2.0273,1.0000,37.5719,0.0200,460.0533,0.3257,145.4701,0.1240,5.0168,0.0029,1.4610,0.0022,82.7006,0.1990,4.5236,1.0000,0.3198,0.0010,0.0000,65.7290,0.1541,67.4171,0.3037,-20.0029,0.5956,130.8497,0.1498,1.8907,100.0000,100.0029,0.1821,1.8252,1.0000,12.2226,0.1166,1.3648,1.0000,62.3384,0.2352,2.3549,1.0000,4270.0000,27.9,67.8,23.1,60.0
2020-05-04,利群(新版)烟丝,002 ,3999.7700,3.7559,3948.0000,18.2761,0.7273,59.4677,0.4201,1.9580,1.0000,63.0530,0.3708,2.6492,1.0000,237.6000,4199.9586,4.3679,4704.6597,17.1767,0.1189,2.3081,1.0000,19.1213,0.0982,2.9827,1.0000,38.5273,0.2097,3.9305,1.0000,84.0045,0.2789,94.2000,54.5849,0.7743,1.1128,100.0000,0.1196,0.1279,12.7193,1.0000,0.1135,68.3000,294,3999.9176,2.1572,4777.7891,18.6073,0.0611,2.1424,1.0000,37.5540,0.0199,459.9805,0.2827,145.4183,0.0919,5.0172,0.0030,1.4617,0.0015,82.9259,0.2788,3.4982,1.0000,0.3202,0.0015,0.0000,63.7332,0.8593,67.5913,0.9162,-20.3548,0.6732,130.4946,0.0229,7.1994,100.0000,99.9950,0.2045,1.6218,1.0000,12.2776,0.0698,2.0172,1.0000,62.4089,0.2403,2.2071,1.0000,4326.0000,28.0,68.1,23.0,59.9
2020-05-04,利群(新版)烟丝,003 ,3999.6353,4.0726,3946.0000,18.2707,0.7435,59.2839,0.6032,1.2621,0.9999,62.9237,0.2117,4.6035,1.0000,237.5000,4199.8154,4.3409,4706.5947,17.2925,0.1159,2.0348,1.0000,19.0410,0.1003,3.1871,1.0000,38.7157,0.1134,6.7146,1.0000,84.0076,0.2035,94.2000,54.2883,0.1906,4.0019,100.0000,0.0740,0.0850,19.3176,1.0000,0.0724,64.2000,333,3999.9634,2.0542,4770.1411,18.5073,0.0655,2.5074,1.0000,37.5436,0.0210,459.9770,0.2866,145.4400,0.0950,5.0168,0.0027,1.4556,0.0020,82.4828,0.2787,2.9695,1.0000,0.3199,0.0010,0.0000,65.6762,0.1551,67.6911,0.8842,-20.2867,0.6816,130.8637,0.2298,1.2528,100.0000,99.9992,0.2207,1.5091,1.0000,12.2027,0.0669,2.4778,1.0000,62.3542,0.2744,1.9993,1.0000,4319.0000,28.0,68.3,22.9,59.9
2020-05-04,利群(新版)烟丝,004 ,3999.8341,4.1177,3948.0000,18.1665,0.7339,59.2911,0.6853,1.1144,0.9996,62.7964,0.2089,4.4621,1.0000,237.6000,4200.4212,4.4330,4699.6328,17.1867,0.1170,2.3171,1.0000,19.0744,0.0852,3.6213,1.0000,38.9080,0.0442,15.7768,1.0000,83.9883,0.1506,94.0500,54.6571,0.4792,1.8483,100.0000,0.0980,0.1029,15.8795,1.0000,0.0610,69.1000,328,3999.9729,2.0317,4833.2373,18.5241,0.0590,2.6887,1.0000,37.5444,0.0207,459.9794,0.3177,145.4342,0.1013,5.0165,0.0033,1.4632,0.0019,82.5978,0.2889,2.9973,1.0000,0.3199,0.0010,0.0000,65.5668,0.2055,67.6279,0.8178,-20.2628,0.7007,131.4765,0.1145,4.2984,100.0000,99.9901,0.2368,1.3937,1.0000,12.1743,0.0900,1.7567,1.0000,62.3895,0.2653,2.0235,1.0000,4377.0000,28.1,68.1,23.0,60.1
2020-05-04,利群(新版)烟丝,005 ,3999.9368,3.8713,3948.0000,18.1228,0.7923,59.3644,0.5830,1.3519,1.0000,63.0038,0.3192,3.1289,1.0000,237.7000,4200.4122,4.1174,4700.6079,17.1008,0.1154,2.5973,1.0000,19.0722,0.0861,3.5919,1.0000,39.0682,0.0316,20.3776,1.0000,84.0256,0.3310,94.1500,55.5149,0.0975,8.4961,100.0000,0.0903,0.1420,11.5251,1.0000,0.1466,71.9000,901,3999.9771,2.2717,4762.3901,18.4153,0.0587,2.3583,1.0000,37.5059,0.0221,459.9737,0.3236,145.3807,0.1220,5.0188,0.0032,1.4647,0.0023,82.1168,0.1513,4.6636,1.0000,0.3203,0.0013,0.0000,64.1931,0.9243,65.1593,0.8636,-20.3454,0.8679,131.0049,0.2180,1.5365,99.1597,100.0280,0.2844,1.1392,0.9995,12.1029,0.1098,1.2231,0.9999,61.7279,0.3064,2.4718,1.0000,4320.0000,28.2,68.1,23.0,59.8
2020-05-04,利群(新版)烟丝,006 ,3999.9084,3.6165,3952.0000,18.0775,0.8051,59.3355,0.7035,1.1066,0.9995,62.9248,0.4051,2.4066,1.0000,237.9000,4200.4797,3.7732,4708.8594,17.1056,0.1437,2.0747,1.0000,19.0319,0.0857,3.7655,1.0000,38.9935,0.0402,16.6376,1.0000,84.0229,0.3426,94.2500,55.3350,0.8704,1.0206,100.0000,0.1052,0.1438,11.3463,1.0000,0.0773,69.9000,923,4000.1151,2.2600,4796.9639,18.4013,0.0534,2.5050,1.0000,37.5149,0.0185,460.0115,0.2991,145.3557,0.1238,5.0200,0.0033,1.4681,0.0020,82.1966,0.2401,3.0496,1.0000,0.3201,0.0010,0.0000,64.6559,0.4056,64.9455,0.7757,-20.3150,0.7926,130.5855,0.2811,0.6943,100.0000,100.0214,0.2466,1.3228,0.9999,12.0255,0.1161,0.9345,0.9975,61.7881,0.2757,2.6743,1.0000,4333.0000,28.3,67.9,23.0,59.4
2020-05-04,利群(新版)烟丝,007 ,3999.9341,4.4896,3948.0000,18.1438,0.9267,59.1665,0.6688,1.0798,0.9994,62.7176,0.2653,3.4145,1.0000,237.2000,4200.1415,3.8743,4699.9297,17.0875,0.1112,2.7353,1.0000,19.0314,0.0702,4.5992,1.0000,38.9710,0.0480,14.0903,1.0000,83.9982,0.1671,94.0000,55.0019,0.0967,10.3347,100.0000,0.0822,0.1829,8.9626,1.0000,0.0015,70.1000,938,3999.8740,2.1134,4761.1436,18.3391,0.0670,1.6871,1.0000,37.5163,0.0200,459.9882,0.3195,145.3330,0.1197,5.0205,0.0030,1.4748,0.0020,82.0900,0.2446,2.8482,1.0000,0.3197,0.0009,0.0000,65.7229,0.1427,64.7837,0.7541,-20.2954,0.8070,130.3738,0.1880,0.6628,100.0000,100.0194,0.2606,1.2543,0.9999,11.9640,0.0872,1.0092,0.9988,62.0005,0.2941,2.2662,1.0000,4297.0000,28.3,68.1,22.9,59.7
2020-05-04,利群(新版)烟丝,008 ,3999.8945,3.8753,3948.0000,18.0529,0.8034,59.2976,0.5221,1.4669,1.0000,62.8229,0.2156,4.3644,1.0000,237.6000,4200.2715,4.5990,4705.0225,17.0145,0.0997,3.2949,1.0000,19.0906,0.0707,4.2876,1.0000,38.0874,0.1188,8.1723,1.0000,84.0288,0.2211,94.1500,54.9958,0.4117,2.4256,100.0000,0.0809,0.1463,11.2078,1.0000,0.0527,75.2000,957,3999.9229,2.0082,4784.8892,18.4020,0.0563,2.3801,1.0000,37.5124,0.0202,459.9766,0.3246,145.3463,0.1295,5.0205,0.0031,1.4679,0.0025,82.2821,0.2690,2.8279,1.0000,0.3198,0.0011,0.0000,65.7583,0.2055,64.8621,0.7800,-20.3646,0.8958,130.5035,0.0593,2.8302,100.0000,100.0104,0.2721,1.2123,0.9998,12.0162,0.1074,0.9814,0.9984,62.0922,0.2214,2.8723,1.0000,4316.0000,28.2,67.7,22.9,59.9
2020-05-05,利群(新版)烟丝,009 ,4000.1547,4.4876,3952.0000,18.1685,0.6997,59.2877,0.5426,1.4054,1.0000,63.1748,0.3765,2.5013,1.0000,237.8000,4200.3854,4.9539,4698.2773,17.3685,0.1181,1.7824,1.0000,19.0347,0.0767,4.1951,1.0000,38.1483,0.3574,2.6597,1.0000,83.9749,0.1638,94.0000,55.5121,0.2269,3.6549,100.0000,0.0738,0.0743,22.1005,1.0000,0.0367,44.7000,352,3999.8810,2.0432,4813.7114,18.4167,0.0678,2.0487,1.0000,37.5160,0.0207,459.9859,0.3390,145.3179,0.1332,5.0216,0.0033,1.4704,0.0020,83.1642,0.2786,3.3929,1.0000,0.3198,0.0010,0.0000,65.8339,0.1565,70.2913,0.3283,-19.9175,0.5661,130.3171,0.0547,1.9324,100.0000,100.0024,0.2887,1.1518,0.9995,12.0699,0.1111,1.1098,0.9996,62.6553,0.1529,2.9315,1.0000,4343.0000,27.5,67.8,23.0,59.7
2020-05-05,利群(新版)烟丝,010 ,4000.0232,3.8306,3950.0000,18.1962,0.7456,59.4540,0.4961,1.6489,1.0000,62.9725,0.2183,4.5389,1.0000,237.7000,4199.9520,4.4412,4702.5308,17.1998,0.0953,2.7989,1.0000,19.0883,0.0779,3.9012,1.0000,38.3052,0.0957,9.3863,1.0000,83.9832,0.4154,94.1000,55.5177,0.4348,1.9030,100.0000,0.0213,0.0418,39.7026,1.0000,0.0525,61.4000,363,3999.9750,2.2912,4798.0063,18.4596,0.0662,2.3142,1.0000,37.5307,0.0203,459.9894,0.3214,145.4258,0.1188,5.0171,0.0031,1.4772,0.0045,82.4583,0.3988,2.0547,1.0000,0.3200,0.0010,0.0000,65.5813,0.2256,70.8217,1.1598,-20.2560,0.6496,130.3147,0.0516,2.0329,100.0000,99.9998,0.2627,1.2686,0.9999,12.1398,0.1082,1.3549,1.0000,62.4516,0.1815,2.8437,1.0000,4329.0000,27.7,67.7,22.9,59.9
