日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2018-05-02,利群(新版)烟丝,001 ,3499.9981,5.0121,3945.1455,17.7162,0.8397,50.5020,0.6723,0.2469,0.7706,60.2901,0.6285,1.4373,1.0000,217.5000,3999.9277,3.9949,4682.3975,16.4323,0.1249,4.1850,1.0000,19.4104,0.1873,0.6936,0.9813,38.2470,0.1464,6.2662,1.0000,79.8962,0.5675,93.7000,54.6158,0.1989,7.7371,100.0000,0.0719,0.0986,16.6676,1.0000,0.0556,121.3000,4099.8481,2.3366,4821.7915,18.7766,0.0634,2.2266,1.0000,72.7460,0.0930,3.2018,0.0082,80.8923,0.1921,5.0188,1.0000,99.9824,0.1488,2.2000,1.0000,12.1799,0.1099,0.9704,0.9982,53.4750,0.3672,1.3842,1.0000,4410.9668,27.2,69.2,22.1,59.5
2018-05-02,利群(新版)烟丝,002 ,3500.2788,4.6342,3956.6880,17.8028,0.9160,50.4391,0.6472,0.2889,0.8069,59.9633,0.3317,2.9775,1.0000,218.1000,3999.4946,3.9368,4684.9038,16.2628,0.1104,5.2427,1.0000,19.5119,0.1749,0.5490,0.9502,38.0124,0.3563,2.7952,1.0000,79.9878,0.3555,93.7500,54.1900,1.5473,0.9026,100.0000,0.0720,0.0937,17.5362,1.0000,0.0554,131.4000,4099.5238,2.6635,4847.5391,18.8255,0.0542,2.3016,1.0000,72.5613,0.1120,3.2003,0.0085,80.8340,0.2115,4.4665,1.0000,100.0159,0.1568,2.0916,1.0000,12.2357,0.1204,0.7318,0.9859,53.7703,0.4179,0.9809,0.9984,4440.3027,27.2,68.4,22.1,59.4
2018-05-02,利群(新版)烟丝,003 ,3499.5795,4.5632,3950.2761,17.7476,0.8932,50.7382,0.5724,0.1525,0.6763,59.9519,0.2745,3.5850,1.0000,217.8000,3999.3585,3.6525,4684.1782,16.2774,0.1049,5.4723,1.0000,19.5157,0.1567,0.6047,0.9652,38.1097,0.6010,1.6030,1.0000,79.9689,0.3667,93.7500,55.8432,1.2155,1.1400,100.0000,0.0621,0.0773,21.2800,1.0000,0.0709,130.1000,4100.0413,2.3834,4919.2695,18.7456,0.0670,2.2618,1.0000,72.5118,0.0840,3.2039,0.0062,80.7970,0.1551,6.0123,1.0000,99.9906,0.1541,2.1430,1.0000,12.2742,0.0998,0.7537,0.9881,53.7271,0.4997,0.8492,0.9946,4513.2588,27.0,67.6,22.6,61.7
2018-05-02,利群(新版)烟丝,004 ,3500.4070,4.2184,3950.2820,17.6649,0.7409,50.6068,0.5576,0.2351,0.7597,60.2896,0.9057,0.9975,0.9985,217.8000,3999.6830,3.5955,4676.5322,16.2667,0.1044,5.5354,1.0000,19.4592,0.1511,0.7518,0.9879,38.4527,0.2410,3.5237,1.0000,79.9959,0.3211,93.5000,55.1035,0.1916,8.5198,100.0000,0.0544,0.0643,25.6554,1.0000,0.0328,121.1000,4099.9115,2.0000,4836.5820,18.5775,0.0529,2.3763,1.0000,72.5488,0.2604,3.2201,0.0394,80.9563,0.3664,2.6893,1.0000,100.0039,0.1290,2.5738,1.0000,12.1349,0.1136,1.0718,0.9993,53.9673,0.6235,0.5521,0.9512,4434.4907,27.1,68.4,22.3,60.1
2018-05-03,利群(新版)烟丝,005 ,3500.4740,4.4386,3973.0110,17.8103,0.8074,50.1828,0.4936,0.5519,0.9511,59.9308,0.2669,3.6609,1.0000,219.0000,3999.2908,3.7431,4688.0786,16.4044,0.0987,5.3868,1.0000,19.2970,0.1546,1.0841,0.9994,37.7362,0.3794,2.4040,1.0000,79.9644,0.5073,93.8500,54.8090,0.1861,8.6119,100.0000,0.0631,0.0756,21.7593,1.0000,0.0943,124.7000,4099.9176,2.4130,4855.9243,18.5256,0.0540,2.0104,1.0000,72.3699,0.0644,3.2036,0.0052,80.7180,0.3103,2.9198,1.0000,99.9986,0.0871,3.8220,1.0000,12.2160,0.0708,1.3380,1.0000,55.5331,0.2632,0.0000,0.0214,4460.7759,26.8,67.9,22.2,59.9
2018-05-03,利群(新版)烟丝,006 ,3500.0747,4.3964,3981.4363,17.8860,0.9364,50.1817,0.7304,0.3734,0.8687,59.9738,0.4328,2.2905,1.0000,219.5000,4000.2308,4.0068,4687.2026,16.2538,0.1191,4.8862,1.0000,19.3280,0.1384,1.1370,0.9997,38.1977,0.4656,2.0061,1.0000,79.9908,0.5249,93.7500,54.1192,0.3354,4.0934,100.0000,0.0684,0.0799,20.5667,1.0000,0.0063,131.6000,4100.1595,1.9696,4862.7983,18.4869,0.0901,1.0609,0.9993,72.3750,0.1123,3.1979,0.0072,81.1978,0.2833,3.2973,1.0000,100.0493,0.1028,3.0818,1.0000,12.2525,0.0816,1.0115,0.9988,56.3132,0.2605,0.0000,0.0000,4473.1958,26.5,68.0,22.0,60.0
2018-05-03,利群(新版)烟丝,007 ,3500.2998,4.9959,3957.5715,17.9792,0.8670,49.7194,0.7059,0.6047,0.9652,59.9848,0.2739,3.6326,1.0000,218.1000,4000.0721,3.8591,4670.1089,16.5660,0.1179,4.0548,1.0000,19.2958,0.2348,0.7158,0.9841,38.0988,0.5049,1.9153,1.0000,79.9906,0.2617,93.4500,54.2320,0.2338,6.0332,100.0000,0.0529,0.0684,24.1158,1.0000,0.0512,114.1000,4099.7209,2.3821,4789.9863,18.5503,0.0487,2.3969,1.0000,72.2896,0.0965,3.1985,0.0045,81.3092,0.2754,3.2570,1.0000,100.0278,0.1066,3.0388,1.0000,12.2873,0.0668,1.0608,0.9993,56.7670,0.3890,0.0000,0.0000,4406.9355,27.0,69.0,22.0,59.8
2018-05-03,利群(新版)烟丝,008 ,3500.2954,4.2776,3989.9709,17.8271,1.0123,50.0211,0.5790,0.5636,0.9545,60.0356,0.3056,3.2336,1.0000,219.6000,3999.8992,3.9773,4703.8174,16.4308,0.1183,4.4223,1.0000,19.3928,0.1696,0.8001,0.9918,37.9742,0.0836,11.8618,1.0000,79.9936,0.4807,94.0500,55.5025,0.2563,5.8496,100.0000,0.0616,0.0804,20.4676,1.0000,0.0280,124.3000,4100.1336,2.1808,4861.6558,18.5846,0.0583,2.2004,1.0000,72.4310,0.1029,3.1989,0.0065,81.3770,0.2313,3.7794,1.0000,100.0362,0.1204,2.6680,1.0000,12.2443,0.1076,0.7924,0.9913,55.1802,0.6294,0.0000,0.3873,4469.1655,26.8,68.0,21.8,60.5
2018-05-03,利群(新版)烟丝,009 ,3500.6895,4.6693,3963.1348,17.8098,0.8479,50.1041,0.6109,0.4888,0.9287,59.9542,0.3692,2.6673,1.0000,218.5000,3999.9264,3.7022,4682.7900,16.3301,0.1161,4.7945,1.0000,19.3944,0.1852,0.7300,0.9857,38.3229,0.1151,7.7515,1.0000,80.0119,0.3067,93.6500,55.6218,0.1421,10.2722,100.0000,0.0558,0.0666,24.7368,1.0000,0.0062,130.7000,4099.8242,2.1821,4904.0347,18.6432,0.0636,2.3211,1.0000,72.3194,0.1135,3.1999,0.0085,81.5580,0.1882,4.3245,1.0000,100.0191,0.1390,2.3521,1.0000,12.3207,0.0752,0.7950,0.9915,55.5902,0.2750,0.0000,0.0160,4515.1411,26.8,67.6,21.8,60.6
2018-05-03,利群(新版)烟丝,010 ,3499.9208,4.6641,3963.0686,17.7012,0.7472,50.4028,0.5933,0.3355,0.8429,59.9592,0.2958,3.3345,1.0000,218.4000,3999.6837,3.4066,4685.3608,16.2310,0.1179,5.0029,1.0000,19.4783,0.1497,0.7162,0.9842,38.2240,0.2353,3.9331,1.0000,79.9812,0.3664,93.7500,54.7806,0.2995,5.3202,100.0000,0.0638,0.0844,19.4971,1.0000,0.0457,136.3000,4099.8854,2.3991,4830.2373,18.5527,0.0548,2.1454,1.0000,72.7512,0.1439,3.1979,0.0076,80.7104,0.3713,2.4330,1.0000,100.0169,0.0845,3.8800,1.0000,12.2302,0.0785,1.1465,0.9997,53.1238,0.6048,1.0340,0.9990,4439.9761,26.9,67.6,22.0,60.3
