日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2019-04-01,利群(新版)烟丝,230 ,3500.0339,3.7792,3988.7456,18.2751,0.7679,48.8157,0.5556,1.3104,1.0000,59.9444,0.3708,2.6470,1.0000,220.1000,4000.3093,3.5442,4686.7598,17.1684,0.0975,2.8425,1.0000,19.1289,0.0960,2.3309,1.0000,37.8060,0.2487,3.7612,1.0000,79.8947,0.7301,93.8000,55.4944,0.8591,1.7483,100.0000,0.1007,0.2172,7.5178,1.0000,0.0691,64.9000,4099.9929,2.3357,4759.2832,18.6637,0.0623,2.4802,1.0000,73.4051,0.0233,3.2038,0.0034,82.0810,0.3475,1.8410,1.0000,1572.1382,29.5905,41.5922,0.1493,35.0000,0.0000,100.0016,0.1444,2.3051,1.0000,12.2608,0.0454,2.4914,1.0000,53.3552,0.2711,2.0221,1.0000,4362.5762,27.2,66.8,21.9,56.1
2019-04-01,利群(新版)烟丝,001 ,3499.8123,4.3866,3989.5010,18.2372,0.7619,48.6889,0.6393,1.2050,0.9998,59.9118,0.4805,2.0199,1.0000,220.2000,4000.1442,3.6068,4703.7852,17.0484,0.0958,3.3096,1.0000,19.2263,0.0734,2.6059,1.0000,37.9029,0.2232,4.3349,1.0000,79.8891,0.8343,94.1500,56.2642,0.3657,3.4054,100.0000,0.0936,0.1827,8.9505,1.0000,0.0790,76.8000,4099.9746,1.9041,4819.0054,18.6032,0.0530,2.5340,1.0000,73.2684,0.0286,3.1985,0.0048,81.7751,0.2476,2.9956,1.0000,1581.8384,30.2069,41.3306,0.1513,35.0000,0.0000,100.0151,0.1965,1.6706,1.0000,12.2291,0.0476,2.5989,1.0000,53.0653,0.1936,3.3317,1.0000,4416.2910,27.2,68.8,22.1,55.8
2019-04-01,利群(新版)烟丝,002 ,3499.8146,4.2705,3988.6948,18.3018,0.8309,48.3882,0.6920,1.2580,0.9999,59.9603,0.5348,1.8453,1.0000,220.1000,3999.9423,3.7143,4710.0000,17.1765,0.0840,3.2675,1.0000,19.2003,0.0857,2.3312,1.0000,37.9065,0.1644,5.8914,1.0000,79.9195,0.9269,94.2500,55.6683,0.7801,1.8509,100.0000,0.0828,0.1541,10.6334,1.0000,0.0531,68.9000,4100.0227,2.0699,4892.5962,18.6098,0.0610,2.2405,1.0000,73.2707,0.0954,3.1961,0.0085,82.2082,0.3708,1.6108,1.0000,1573.8495,33.3503,41.1676,0.1878,35.0000,0.0000,99.9979,0.2137,1.5562,1.0000,12.1824,0.0650,2.1419,1.0000,53.4307,0.1808,2.8932,1.0000,4478.9775,27.1,66.5,21.9,56.0
2019-04-02,利群(新版)烟丝,003 ,3500.1811,3.8535,3986.4043,18.2743,0.7964,48.6276,0.7481,1.0570,0.9992,60.0759,0.6194,1.5735,1.0000,219.6000,3999.6809,2.9270,4724.1758,17.1136,0.1072,2.7560,1.0000,19.2636,0.0786,2.2742,1.0000,37.9841,0.1831,5.4327,1.0000,79.8786,0.6514,94.5500,54.4304,0.3796,3.8906,100.0000,0.0839,0.1944,8.4288,1.0000,0.0748,71.5000,4099.8719,2.2996,4754.4028,18.8402,0.0586,2.0458,1.0000,73.6472,0.0136,3.2019,0.0029,81.8133,0.5236,1.3921,1.0000,1579.0034,30.8050,41.1665,0.1195,35.0000,0.0000,99.9848,0.1300,2.5254,1.0000,12.2956,0.0748,1.3560,1.0000,53.6411,0.2096,2.1608,1.0000,4351.0479,27.3,67.4,22.1,55.9
2019-04-02,利群(新版)烟丝,004 ,3500.2853,4.0372,3984.9419,18.4185,0.6324,49.0279,0.6387,1.0293,0.9990,60.0154,0.4343,2.2906,1.0000,219.7000,4000.2801,3.1689,4742.3438,17.2229,0.0987,2.6242,1.0000,19.2716,0.0841,2.0933,1.0000,38.0781,0.1314,7.4133,1.0000,79.9134,1.2255,94.8500,55.7281,0.7970,1.7867,100.0000,0.1054,0.2452,6.6529,1.0000,0.0040,68.4000,4099.9394,2.3801,4870.6953,18.7808,0.0646,2.1638,1.0000,73.4920,0.0265,3.1977,0.0076,81.9145,0.2228,3.1198,1.0000,1592.8702,28.5290,41.1967,0.1642,35.0000,0.0000,99.9628,0.1598,2.0088,1.0000,12.2727,0.0468,2.3320,1.0000,53.4368,0.3211,1.6229,1.0000,4459.3760,27.4,68.6,21.9,56.2
2019-04-02,利群(新版)烟丝,005 ,3499.9376,4.4018,3987.6628,18.3125,0.7528,49.1158,0.4537,1.3844,1.0000,60.0877,0.3309,2.9341,1.0000,219.9000,3999.9508,3.0774,4718.9346,17.0814,0.1030,2.9740,1.0000,19.2663,0.1145,1.5543,1.0000,37.9970,0.1392,7.1774,1.0000,79.9245,0.5652,94.4500,56.5004,0.2748,4.2444,100.0000,0.0775,0.1681,9.7598,1.0000,0.0756,73.8000,4099.9828,1.8125,4765.8828,18.7384,0.0621,2.4764,1.0000,73.2081,0.0232,3.1980,0.0045,82.1403,0.4147,1.4947,1.0000,1581.5225,35.5387,40.6060,0.1858,35.0000,0.0000,100.0162,0.1205,2.7204,1.0000,12.2344,0.0421,2.8933,1.0000,53.4165,0.2198,2.4014,1.0000,4359.5249,27.5,67.7,22.1,55.9
2019-04-02,利群(新版)烟丝,006 ,3500.3293,4.5029,3989.2905,18.2367,0.8236,49.1881,0.5936,1.0175,0.9989,59.9969,0.4906,2.0363,1.0000,220.0000,3999.4657,3.0539,4721.7407,17.0086,0.1130,2.9237,1.0000,19.2616,0.0867,2.0699,1.0000,37.9383,0.1420,6.8955,1.0000,79.9147,0.5707,94.5000,55.0592,0.2516,6.5464,100.0000,0.0931,0.2091,7.8221,1.0000,0.0690,79.6000,4099.9746,2.0266,4823.4990,18.6955,0.0676,2.4416,1.0000,73.2109,0.0179,3.2031,0.0041,82.5857,0.3227,1.4608,1.0000,1585.2128,28.5563,40.3351,0.1967,35.0000,0.0000,99.9961,0.1952,1.7014,1.0000,12.1618,0.0549,2.6623,1.0000,53.6444,0.2070,2.1828,1.0000,4412.0615,27.5,68.9,22.1,56.1
2019-04-02,利群(新版)烟丝,007 ,3499.9323,4.3018,3990.2947,18.1515,0.7280,49.1728,0.5224,1.1660,0.9998,59.9506,0.3838,2.5623,1.0000,220.0000,3999.7894,2.7967,4717.2896,16.8913,0.1212,3.0482,1.0000,19.2853,0.0959,1.7886,1.0000,38.0381,0.0811,12.1729,1.0000,79.9092,0.6753,94.3500,54.4411,0.3727,3.9717,100.0000,0.1166,0.2879,5.6546,1.0000,0.0045,84.8000,4100.1424,2.1292,4885.1260,18.6499,0.0598,2.5100,1.0000,73.0673,0.0339,3.1985,0.0041,82.5187,0.2291,2.1549,1.0000,1571.2681,34.0448,40.6817,0.1810,35.0000,0.0000,99.9917,0.1506,2.1942,1.0000,12.2069,0.0598,2.1907,1.0000,54.0434,0.2135,1.4938,1.0000,4469.1069,27.5,68.5,22.0,56.0
2019-04-03,利群(新版)烟丝,008 ,3500.1857,4.0008,3988.9612,17.9433,0.8685,49.1783,0.5705,1.0645,0.9993,60.0958,0.3367,2.8754,1.0000,220.1000,4000.0862,3.0468,4697.1870,16.8457,0.1044,3.6871,1.0000,19.2327,0.0804,2.3508,1.0000,37.7418,0.1191,7.6722,1.0000,79.9125,0.7111,93.9500,54.6813,0.2646,5.8984,100.0000,0.0800,0.1791,9.1554,1.0000,0.0067,84.2000,4100.0992,1.8439,4769.4746,18.7923,0.0578,2.3492,1.0000,73.3170,0.0630,3.1978,0.0076,81.6008,0.4947,1.6167,1.0000,1574.6455,30.1719,40.9061,0.2023,35.0000,0.0000,100.0126,0.1957,1.6815,1.0000,12.3161,0.0909,1.0416,0.9991,52.6807,0.3155,2.4503,1.0000,4370.4492,27.5,67.0,22.0,56.0
2019-04-03,利群(新版)烟丝,009 ,3500.9687,8.9715,3986.5706,18.1764,0.8383,49.2600,0.5908,0.9818,0.9984,60.0828,0.3959,2.4559,1.0000,220.2000,4000.3174,3.2891,4711.8564,16.9055,0.1188,3.0699,1.0000,19.2271,0.0757,2.5233,1.0000,37.7380,0.1832,4.9820,1.0000,79.8780,0.5970,94.2500,55.5038,1.2855,1.1659,99.2126,0.0857,0.1653,9.9110,1.0000,0.0137,81.4000,4099.9542,1.6206,4878.6523,18.7390,0.0604,2.5449,1.0000,73.2256,0.0158,3.2064,0.0035,81.9216,0.1811,3.8256,1.0000,1576.6597,31.7616,41.0044,0.1908,35.0000,0.0000,100.0204,0.1877,1.7395,1.0000,12.3477,0.0538,1.5626,1.0000,53.1725,0.2385,2.5542,1.0000,4472.9971,27.5,68.2,22.0,55.9
