日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽质量流量均值,sirox增温增湿sirox蒸汽质量流量SD,sirox增温增湿sirox蒸汽体积流量均值,sirox增温增湿sirox蒸汽体积流量SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox蒸汽喷射蒸汽压力均值,sirox增温增湿sirox蒸汽喷射蒸汽压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝热风风机频率,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝排潮负压均值,kld烘丝排潮负压SD,kld烘丝筒壁温度均值,kld烘丝筒壁温度SD,kld烘丝筒壁温度CPK,kld烘丝筒壁温度合格率,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2020-03-01,利群(新版)烟丝,001 ,4000.2724,5.6829,3985.5449,19.1842,0.8859,60.4006,0.3711,2.3346,1.0000,63.1548,0.5301,1.7891,1.0000,240.1000,4200.0642,5.4405,4734.8257,17.6363,0.1361,0.8912,0.9962,18.8660,0.1145,2.5214,1.0000,38.4751,0.0846,9.9487,1.0000,83.9753,0.1582,94.6500,55.0387,0.2931,3.3680,100.0000,0.0377,0.0458,36.0845,1.0000,0.0491,50.9000,3999.8715,1.7147,4741.4971,18.3265,0.0486,2.2402,1.0000,35.5231,0.0165,420.0038,0.2280,132.3769,0.0800,5.0403,0.0008,1.2253,0.0015,81.9936,0.2793,2.3948,1.0000,0.3199,0.0010,0.0000,64.0029,0.1160,58.9191,0.3964,-20.2190,1.8067,131.2155,0.5008,0.8091,100.0000,99.9961,0.1159,2.8644,1.0000,12.0758,0.1631,0.7681,0.9893,59.8534,0.3301,2.1675,1.0000,4280.2793,27.0,68.3,23.0,58.9
2020-03-01,利群(新版)烟丝,002 ,4000.2275,5.5499,3988.6626,19.3973,0.8143,60.0726,0.5112,1.9088,1.0000,63.0584,0.3132,3.1302,1.0000,240.3000,4200.5064,5.3117,4741.5020,17.6127,0.1275,1.0128,0.9988,18.9236,0.0961,3.2024,1.0000,38.7848,0.1815,4.0692,1.0000,83.9567,0.3178,94.9500,54.7361,0.4669,1.9533,100.0000,0.0572,0.0796,20.6916,1.0000,0.1265,52.1000,3999.9458,2.5077,4771.5874,18.4102,0.0385,3.5557,1.0000,35.5326,0.0150,420.0138,0.2682,132.4236,0.0914,5.0385,0.0009,1.2258,0.0017,82.3809,0.1842,2.9300,1.0000,0.3200,0.0011,0.0000,63.8264,0.2981,59.2223,0.4864,-20.1535,1.4254,131.9822,0.2267,2.9141,100.0000,99.9979,0.1152,2.8865,1.0000,12.0847,0.0585,2.1911,1.0000,59.9549,0.4096,1.6643,1.0000,4300.5991,27.2,67.2,22.6,60.3
2020-03-01,利群(新版)烟丝,003 ,4000.5943,5.0220,3990.9155,19.4542,0.7128,60.4253,0.2266,3.7874,1.0000,63.2287,0.5228,1.7671,1.0000,240.3000,4200.1709,5.0985,4746.9463,17.5840,0.1195,1.1609,0.9998,18.9320,0.0886,3.5052,1.0000,38.8900,0.2025,3.4733,1.0000,83.9630,0.2556,95.0000,55.6937,0.1945,3.9517,100.0000,0.0412,0.0473,34.9774,1.0000,0.0643,52.9000,3999.7818,2.7658,4779.3823,18.4316,0.0506,2.8433,1.0000,35.4843,0.0134,420.0070,0.2199,132.4434,0.0745,5.0375,0.0009,1.2250,0.0018,81.9313,0.3669,1.8794,1.0000,0.3199,0.0011,0.0000,63.9994,0.1091,59.0016,0.4537,-20.2454,1.8291,132.1675,0.2115,3.4154,100.0000,100.0003,0.1032,3.2302,1.0000,12.0851,0.0664,1.9332,1.0000,59.9312,0.3930,1.7548,1.0000,4306.4448,27.3,67.8,22.3,60.4
2020-03-01,利群(新版)烟丝,004 ,4000.5368,5.3394,3991.1516,19.3111,0.8083,60.3003,0.4608,1.9529,1.0000,63.0095,0.4475,2.2274,1.0000,240.6000,4199.8984,4.8315,4738.4922,17.5915,0.1387,0.9820,0.9984,18.8789,0.0877,3.3394,1.0000,38.6160,0.3521,2.2569,1.0000,84.0357,0.1919,94.9000,54.3080,0.4196,1.8337,100.0000,0.0513,0.0618,26.6809,1.0000,0.1373,52.3000,3999.8847,1.8086,4765.1489,18.4284,0.0468,3.0522,1.0000,35.5096,0.0131,420.0158,0.2233,132.4675,0.0730,5.0363,0.0008,1.2257,0.0016,82.0364,0.1951,3.3547,1.0000,0.3201,0.0011,0.0000,63.2844,0.6784,58.9779,0.3321,-20.1931,1.4046,132.0399,0.2815,2.4155,100.0000,99.9956,0.1251,2.6534,1.0000,12.0968,0.0944,1.4006,1.0000,59.9246,0.2950,2.3452,1.0000,4297.2085,27.4,68.0,22.1,60.5
2020-03-01,利群(新版)烟丝,005 ,3999.5118,27.9148,3998.2917,19.4573,0.6765,60.6083,0.2302,3.4635,1.0000,63.2431,0.4358,2.1085,1.0000,240.9000,4199.7202,4.7390,4742.0967,17.6835,0.1193,0.8841,0.9960,18.9594,0.0852,3.7528,1.0000,38.1768,0.1106,8.5059,1.0000,83.9849,0.2724,94.9500,55.3814,0.1605,5.4388,100.0000,0.0512,0.0805,20.4814,1.0000,0.1140,52.2000,3999.6333,2.4885,4803.0923,18.5128,0.0530,3.0638,1.0000,35.5181,0.0124,419.9824,0.2143,132.4850,0.0737,5.0349,0.0008,1.2276,0.0013,82.0944,0.1603,3.9627,1.0000,0.3202,0.0012,0.0000,62.0751,0.4690,59.2305,0.3548,-20.1182,1.5640,132.9146,0.4404,2.2058,100.0000,100.0033,0.1045,3.1798,1.0000,12.1192,0.1017,1.3744,1.0000,60.0541,0.3995,1.6236,1.0000,4326.4370,27.5,67.8,23.4,60.1
2020-03-01,利群(新版)烟丝,006 ,4000.2691,4.9658,3987.9363,19.3572,0.6389,60.3136,0.5071,1.7658,1.0000,62.9800,0.3109,3.1952,1.0000,240.1000,4199.8959,5.0151,4739.9590,17.6924,0.1069,0.9597,0.9980,18.9216,0.0938,3.2764,1.0000,38.4895,0.0229,36.5283,1.0000,84.0322,0.4573,94.9000,56.0991,0.6420,0.9869,100.0000,0.0390,0.0811,20.3862,1.0000,0.1064,55.0000,3999.9221,3.0055,4776.8110,18.3844,0.0472,2.7125,1.0000,35.5552,0.0308,420.0032,0.2793,132.5576,0.1031,5.0310,0.0030,1.1913,0.0019,81.7013,0.2488,3.0800,1.0000,0.3199,0.0009,0.0000,63.8007,0.1487,58.8843,0.5249,-20.1549,1.9820,132.4510,0.6080,1.3437,100.0000,100.0033,0.1610,2.0642,1.0000,12.1180,0.1291,1.0793,0.9994,59.6229,0.5319,1.4896,1.0000,4319.2974,27.6,67.9,23.6,60.0
2020-03-01,利群(新版)烟丝,007 ,4000.3137,5.3071,3993.5007,19.3237,0.7505,60.4783,0.4190,2.0062,1.0000,62.9919,0.3507,2.8441,1.0000,240.6000,4200.0317,5.1004,4743.8369,17.6180,0.1126,1.1308,0.9997,18.9770,0.0935,3.4823,1.0000,38.4438,0.1039,8.2033,1.0000,84.0745,0.6053,94.9500,54.8825,0.1605,5.9872,100.0000,0.0382,0.0853,19.3975,1.0000,0.0772,57.1000,4000.0015,2.9592,4759.5522,18.5009,0.0482,3.4488,1.0000,35.5930,0.0141,420.0307,0.2830,132.5857,0.1283,5.0300,0.0031,1.1944,0.0020,81.9918,0.2014,3.3236,1.0000,0.3199,0.0009,0.0000,63.8859,0.1472,59.0248,0.3519,-20.1257,1.3385,133.0866,0.4378,2.2184,100.0000,100.0014,0.1531,2.1748,1.0000,12.1280,0.1159,1.2305,0.9999,60.0304,0.4015,1.6351,1.0000,4300.9531,27.6,67.8,23.8,60.0
2020-03-01,利群(新版)烟丝,008 ,3999.3324,5.3539,3993.4163,19.3693,0.7161,60.4240,0.4090,2.0994,1.0000,62.9669,0.2220,4.4558,1.0000,240.6000,4199.8726,5.0102,4744.6289,17.6566,0.1216,0.9411,0.9976,18.9613,0.0729,4.3962,1.0000,38.5315,0.0716,11.4934,1.0000,83.9763,0.2328,95.0000,55.7147,0.1665,4.5763,100.0000,0.0168,0.0326,50.9629,1.0000,0.1132,54.5000,3999.9634,2.3565,4759.2383,18.5035,0.0480,3.4509,1.0000,35.6024,0.0136,420.0139,0.2658,132.6050,0.1118,5.0288,0.0027,1.1965,0.0020,81.9777,0.1624,4.1520,1.0000,0.3200,0.0013,0.0000,62.3523,0.7051,58.7072,0.3750,-20.1205,1.7297,132.4112,0.4285,1.8758,100.0000,100.0015,0.1557,2.1377,1.0000,12.1072,0.1392,0.9748,0.9983,60.1244,0.3069,2.0369,1.0000,4295.8384,27.6,67.8,23.8,60.1
2020-03-01,利群(新版)烟丝,009 ,3999.9897,10.4853,3992.6582,19.1946,0.8628,60.3304,0.4770,1.8654,1.0000,62.9499,0.3198,3.0742,1.0000,240.5000,4199.3266,4.4577,4744.7456,17.5614,0.1206,1.2123,0.9999,18.9957,0.0807,4.1126,1.0000,38.4701,0.0880,9.5838,1.0000,84.0441,0.2362,95.0000,55.7250,0.7248,1.0462,100.0000,0.0406,0.0386,42.7849,1.0000,0.1107,56.1000,4000.0092,2.6740,4765.4380,18.5531,0.0511,2.9176,1.0000,34.9276,0.0156,420.0045,0.2703,132.5646,0.1138,5.0304,0.0025,1.1862,0.0020,81.4362,0.3865,2.2113,1.0000,0.3198,0.0010,0.0000,63.8709,0.1213,58.7926,0.3272,-20.1828,1.2597,132.5593,0.3298,2.5866,100.0000,99.9995,0.1219,2.7329,1.0000,12.1032,0.0636,2.1120,1.0000,60.1628,0.3182,1.9245,1.0000,4297.3306,27.3,64.1,23.8,60.0
2020-03-02,利群(新版)烟丝,010 ,3999.8562,5.0450,3991.6580,19.4377,0.6681,60.6551,0.3296,2.3714,1.0000,63.1270,0.2900,3.3028,1.0000,240.3000,4199.6252,5.5130,4733.0107,17.6478,0.1178,0.9963,0.9986,18.9540,0.1230,2.5845,1.0000,38.1647,0.3358,2.8145,1.0000,83.9854,0.1998,94.7500,55.2806,0.2533,3.5787,100.0000,0.0750,0.0731,22.4510,1.0000,0.0949,52.3000,4000.0092,2.8892,4740.9785,18.5208,0.0518,3.0848,1.0000,34.9442,0.0133,420.0184,0.2455,132.5963,0.0993,5.0293,0.0024,1.1920,0.0015,81.6060,0.2066,3.8632,1.0000,0.3199,0.0010,0.0000,63.9416,0.1272,58.7807,0.3434,-20.0139,1.0959,132.2120,0.3464,2.1283,100.0000,99.9991,0.1438,2.3168,1.0000,12.0950,0.0997,1.3201,1.0000,60.1934,0.2642,2.2797,1.0000,4277.2725,27.1,67.9,23.7,60.1
