日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,润叶加料贮叶时间,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽质量流量均值,sirox增温增湿sirox蒸汽质量流量SD,sirox增温增湿sirox蒸汽体积流量均值,sirox增温增湿sirox蒸汽体积流量SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox蒸汽喷射蒸汽压力均值,sirox增温增湿sirox蒸汽喷射蒸汽压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝热风风机频率,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝排潮负压均值,kld烘丝排潮负压SD,kld烘丝筒壁温度均值,kld烘丝筒壁温度SD,kld烘丝筒壁温度CPK,kld烘丝筒壁温度合格率,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2020-04-01,利群(新版)烟丝,001 ,3999.9746,4.6680,3941.3066,18.9610,0.8501,60.2673,0.4662,1.9541,1.0000,63.0324,0.3929,2.5174,1.0000,237.4000,4199.5377,4.9435,4702.4570,17.6820,0.1103,0.9610,0.9980,18.8748,0.1975,1.4762,1.0000,37.3525,0.4765,1.6455,1.0000,84.0185,0.1686,94.1500,54.5886,0.9168,0.9411,100.0000,0.0883,0.1280,12.7867,1.0000,0.1072,40.6000,448,4000.1031,1.8127,4784.7153,18.5212,0.0506,3.1514,1.0000,37.4492,0.0192,459.9903,0.3229,145.6517,0.1414,5.0104,0.0033,1.4103,0.0023,83.2700,0.5482,1.6600,1.0000,0.3199,0.0010,0.0000,65.2831,0.0982,66.6811,0.6988,-20.1864,0.5293,132.2987,0.1639,4.6743,100.0000,99.9999,0.1898,1.7562,1.0000,12.0759,0.0749,1.6726,1.0000,61.1183,0.2847,3.3740,1.0000,4320.1714,26.9,68.1,23.0,59.9
2020-04-01,利群(新版)烟丝,002 ,4000.5345,4.6611,3947.7776,18.9212,0.8237,60.2676,0.6879,1.3241,1.0000,63.0240,0.2479,4.0013,1.0000,238.0000,4200.4292,4.7493,4725.9824,17.4721,0.1143,1.5393,1.0000,18.9976,0.1034,3.2153,1.0000,37.9231,0.0962,10.1293,1.0000,83.9764,0.1477,94.5000,54.6863,0.4748,1.8858,100.0000,0.0699,0.0901,18.2416,1.0000,0.0208,54.1000,433,3999.9871,1.7496,4807.7002,18.5228,0.0447,3.5550,1.0000,37.4533,0.0190,459.9771,0.3133,145.6269,0.1274,5.0108,0.0033,1.4110,0.0022,83.7167,0.2889,2.6343,1.0000,0.3200,0.0014,0.0000,63.5076,0.9727,67.0280,0.5263,-20.1165,0.5066,132.3650,0.2231,3.5331,100.0000,100.0030,0.2161,1.5380,1.0000,12.0820,0.0904,1.4081,1.0000,61.0190,0.2148,4.6263,1.0000,4342.6548,26.8,67.5,23.0,60.2
2020-04-01,利群(新版)烟丝,003 ,4000.1262,4.2377,3954.3381,19.0427,0.7917,60.5655,0.3857,2.1038,1.0000,63.1183,0.4363,2.2014,1.0000,238.2000,4199.9577,4.6602,4724.5840,17.5663,0.1082,1.3363,1.0000,19.0092,0.0869,3.7994,1.0000,38.3571,0.0586,15.0423,1.0000,83.9506,0.2986,94.7500,55.1757,0.1522,6.1872,100.0000,0.0735,0.1029,15.9611,1.0000,0.2734,48.8000,448,4000.0271,1.8257,4813.4663,18.5169,0.0435,3.7028,1.0000,37.4551,0.0192,459.9708,0.3004,145.6268,0.1257,5.0113,0.0032,1.4107,0.0022,83.5539,0.2340,3.4848,1.0000,0.3198,0.0010,0.0000,65.4187,0.1257,67.1455,0.5093,-20.0774,0.4914,132.6662,0.1996,4.4526,100.0000,100.0000,0.2494,1.3365,0.9999,12.0894,0.0767,1.6929,1.0000,60.9539,0.1726,5.7061,1.0000,4343.9980,26.9,67.8,23.0,59.9
2020-04-01,利群(新版)烟丝,004 ,3999.8671,4.4975,3949.8442,18.8961,0.7964,60.5443,0.3067,2.6693,1.0000,63.1084,0.3732,2.5830,1.0000,237.3000,4199.7504,4.8582,4719.1592,17.4757,0.1090,1.6036,1.0000,18.9925,0.0805,4.1073,1.0000,38.4998,0.0522,15.9754,1.0000,83.9904,0.1431,94.4500,54.7312,0.4755,1.9145,100.0000,0.0695,0.1180,13.9301,1.0000,0.0708,54.9000,967,3999.7893,1.7233,4749.8438,18.4224,0.0475,2.9640,1.0000,37.4055,0.0455,460.0424,0.2847,145.5413,0.1169,5.0155,0.0033,1.4095,0.0018,83.3200,0.5336,1.6743,1.0000,0.3200,0.0010,0.0000,64.9307,0.1641,67.1352,0.7497,-20.1623,0.4849,134.9961,0.0250,13.3910,100.0000,100.0016,0.2250,1.4793,1.0000,12.0132,0.0750,1.3915,1.0000,60.3219,0.5223,1.4819,1.0000,4288.4463,26.9,68.0,23.0,60.0
2020-04-01,利群(新版)烟丝,005 ,3999.8164,4.9001,3958.7788,18.6998,0.9341,60.2876,0.6733,1.3428,1.0000,62.9713,0.2558,3.8723,1.0000,238.5000,4199.2659,4.9372,4719.4614,17.3353,0.1042,2.1259,1.0000,18.9933,0.0854,3.8783,1.0000,38.1520,0.1908,4.9765,1.0000,83.9864,0.2251,94.4500,55.0762,0.1795,5.4286,100.0000,0.0738,0.0989,16.6029,1.0000,0.0644,61.1000,971,4000.0864,1.8850,4801.1230,18.3627,0.0443,2.7272,1.0000,37.4761,0.0224,459.9960,0.2767,145.5178,0.1155,5.0160,0.0030,1.4107,0.0017,83.7515,0.3026,2.4765,1.0000,0.3199,0.0009,0.0000,65.2735,0.1510,66.7476,0.6002,-20.1314,0.5741,133.8001,0.2150,3.4106,100.0000,100.0068,0.2076,1.5946,1.0000,12.0155,0.1043,1.0084,0.9988,60.5497,0.2982,2.8505,1.0000,4340.6328,26.9,67.9,22.8,59.2
2020-04-01,利群(新版)烟丝,006 ,4000.2212,4.8062,3950.0044,18.9605,0.7335,60.5002,0.3223,2.5853,1.0000,63.0856,0.2818,3.4472,1.0000,237.8000,4200.7268,4.7768,4717.4199,17.4793,0.1000,1.7365,1.0000,18.9887,0.0849,3.8798,1.0000,38.1150,0.0556,17.2929,1.0000,83.9656,0.2102,94.4000,55.2892,0.6014,1.5025,100.0000,0.1029,0.1810,9.0197,1.0000,0.0547,53.1000,1094,4000.1765,1.8052,4795.7534,18.4191,0.0460,3.0353,1.0000,37.4591,0.0180,459.9888,0.2953,145.5638,0.1169,5.0144,0.0028,1.4100,0.0020,83.4845,0.3804,2.2045,1.0000,0.3199,0.0010,0.0000,65.3884,0.1093,67.0517,0.9038,-20.1762,0.5479,132.9074,0.2819,3.4378,100.0000,99.9989,0.1772,1.8786,1.0000,12.0980,0.1049,1.2650,0.9999,60.3889,0.4498,1.7705,1.0000,4334.9155,26.8,67.7,23.0,59.5
2020-04-01,利群(新版)烟丝,007 ,4000.5195,4.4016,3954.9055,18.8675,0.8095,60.5042,0.3486,2.3864,1.0000,63.0930,0.3250,2.9812,1.0000,238.0000,4200.2122,4.4359,4715.4551,17.3870,0.1131,1.8071,1.0000,18.9886,0.0787,4.1878,1.0000,38.0585,0.0818,11.9907,1.0000,83.9799,0.2426,94.3500,54.2493,0.1226,6.1174,100.0000,0.0804,0.1291,12.7066,1.0000,0.0434,56.7000,1105,3999.9864,1.9939,4795.7666,18.4361,0.0465,3.1282,1.0000,37.4763,0.0230,459.9961,0.2932,145.5426,0.1088,5.0148,0.0028,1.4119,0.0020,83.6688,0.3034,2.5609,1.0000,0.3198,0.0010,0.0000,65.3884,0.1360,66.7549,0.6885,-20.1672,0.5145,133.1114,0.1898,5.0735,100.0000,100.0004,0.1976,1.6863,1.0000,12.1089,0.0642,2.1245,1.0000,60.7326,0.3205,2.8421,1.0000,4336.9941,26.7,68.0,22.9,60.3
2020-04-01,利群(新版)烟丝,008 ,4000.2412,4.5229,3960.0420,18.9453,0.7433,60.5305,0.3079,2.6736,1.0000,63.0889,0.2537,3.8250,1.0000,238.4000,4199.1342,5.0260,4737.5942,17.5208,0.1113,1.4356,1.0000,18.9651,0.0744,4.3230,1.0000,38.0594,0.1186,8.2651,1.0000,84.0171,0.1853,94.8000,56.0016,0.5712,1.1663,100.0000,0.0450,0.0784,21.0539,1.0000,0.0508,52.7000,1149,4000.0500,1.7841,4850.4536,18.4281,0.0487,2.9324,1.0000,37.4506,0.0206,459.9941,0.3023,145.5657,0.1236,5.0137,0.0033,1.4127,0.0019,83.6337,0.3546,2.2244,1.0000,0.3199,0.0012,0.0000,64.8545,0.4393,66.6537,0.7047,-20.1668,0.4750,133.0279,0.1731,5.7222,100.0000,100.0003,0.2094,1.5914,1.0000,12.1108,0.0761,1.7985,1.0000,60.6299,0.3646,2.4045,1.0000,4382.7227,26.8,67.8,23.0,60.7
2020-04-02,利群(新版)烟丝,009 ,4000.2691,4.7183,3955.7432,18.9905,0.7075,60.4209,0.4582,1.8763,1.0000,62.9973,0.2594,3.8519,1.0000,238.2000,4199.7870,4.6776,4705.4370,17.6642,0.1107,1.0113,0.9988,18.8079,0.1025,2.6269,1.0000,37.6277,0.4024,2.1769,1.0000,84.0667,0.7912,94.1500,54.6618,1.0134,0.8756,100.0000,0.0480,0.0609,27.1053,1.0000,0.0438,43.4000,506,3999.9695,1.8969,4779.0786,18.4251,0.0457,3.1009,1.0000,37.4501,0.0192,459.9925,0.2730,145.5720,0.1127,5.0139,0.0029,1.4114,0.0021,83.4884,0.3782,2.2138,1.0000,0.3197,0.0010,0.0000,65.3663,0.1395,66.9036,0.6604,-20.1324,0.4762,132.4058,0.1241,6.4605,100.0000,99.9963,0.2223,1.4940,1.0000,12.0892,0.0747,1.7363,1.0000,60.5337,0.3171,2.6638,1.0000,4325.1860,26.8,67.7,23.0,60.4
2020-04-02,利群(新版)烟丝,010 ,3999.6700,4.7348,3946.2336,18.9768,0.7559,60.5866,0.4145,1.9407,1.0000,62.9793,0.3491,2.8451,1.0000,237.6000,4199.5830,4.7286,4721.3789,17.5032,0.1064,1.5560,1.0000,18.9067,0.0978,3.0889,1.0000,38.1212,0.1133,8.4707,1.0000,83.8971,0.3860,94.5500,55.1220,0.1769,5.4230,100.0000,0.0419,0.0465,35.5768,1.0000,0.1297,53.0000,534,3999.9689,1.4705,4798.1313,18.3973,0.0492,2.6911,1.0000,37.4680,0.0192,459.9641,0.2883,145.5411,0.1123,5.0148,0.0029,1.4124,0.0018,83.5943,0.2874,2.7901,1.0000,0.3201,0.0010,0.0000,64.9947,0.2205,66.7495,0.7022,-20.1745,0.5681,132.4671,0.1539,5.3423,100.0000,99.9991,0.2093,1.5908,1.0000,12.0954,0.0720,1.8314,1.0000,60.6126,0.3397,2.5633,1.0000,4346.7114,26.8,67.7,23.0,59.5
